Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,Europe,2019,0.0,86
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,Europe,2019,0.0,87
Norway,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,Europe,2019,0.0,84
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,Europe,2019,0.0,78
Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,Europe,2019,0.0,82
Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,Europe,2019,0.0,85
Sweden,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,Europe,2019,0.0,85
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,Australia,2019,0.0,87
Canada,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,North America,2019,0.0,77
Austria,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2.69343,Europe,2019,0.0,77
Australia,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,Australia,2019,0.0,77
Costa Rica,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,3.35168,South America,2019,0.0,56
Israel,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,3.31029,Asia,2019,0.0,60
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2.11055,Europe,2019,0.0,80
United Kingdom,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2.14999,Europe,2019,0.0,77
Ireland,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2.15988,Europe,2019,0.0,74
Germany,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2.50931,Europe,2019,0.0,80
Belgium,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Belgium,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2.61355,Europe,2019,0.0,75
United States,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2.72782,North America,2019,0.0,69
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,United Arab Emirates,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,2.21507,Asia,2019,0.0,71
Malta,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,1.99032,Europe,2019,0.0,54
Mexico,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,3.55906,North America,2019,0.0,29
France,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2.4744,Europe,2019,0.0,69
Chile,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Chile,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2.95505,South America,2019,0.0,67
Guatemala,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Guatemala,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701,3.19863,South America,2019,0.0,26
